,feature,importance
234,地铁站点#40.0,0.00043937011735332293
148,位置#113,0.0004380916710770886
181,位置#146,0.00043105533726862537
158,位置#123,0.00041841106078392644
65,位置#30,0.0004141215147485838
51,位置#16,0.0004117011278647744
178,位置#143,0.00039993459913628617
144,位置#109,0.000387544698970399
145,位置#110,0.00035652547460216557
309,地铁站点#115.0,0.0003458871936937748
128,位置#93,0.0003316488412315937
307,地铁站点#113.0,0.0003271609246450483
101,位置#66,0.0003222627456158295
119,位置#84,0.00030701356694387756
49,位置#14,0.0002940353189959619
68,位置#33,0.000284277907103841
303,地铁站点#109.0,0.0002753795905724932
236,地铁站点#42.0,0.0002697831576386457
39,位置#4,0.0002688156294151365
108,位置#73,0.00026193135461724596
151,位置#116,0.00024559754039497526
140,位置#105,0.00023939077564208176
174,位置#139,0.00022703839538742266
269,地铁站点#75.0,0.000224397206493407
230,地铁站点#36.0,0.00022386106914133405
123,位置#88,0.0002235891918001757
251,地铁站点#57.0,0.0002224385815006729
135,位置#100,0.00022215083656634742
177,位置#142,0.00021759486660034158
163,位置#128,0.0002152471108320111
225,地铁站点#31.0,0.0002137800937340258
173,位置#138,0.00021273041741235024
83,位置#48,0.0002103758920656571
200,地铁站点#6.0,0.0001973203510935748
211,地铁站点#17.0,0.00019485482698713925
66,位置#31,0.00017932855892171674
313,地铁站点#119.0,0.00017679852265616199
235,地铁站点#41.0,0.00017264226123945257
53,位置#18,0.0001723551778051676
142,位置#107,0.0001691879479014133
154,位置#119,0.00016810329000382593
94,位置#59,0.0001643679108089229
61,位置#26,0.0001599021053277481
76,位置#41,0.00015956626634366388
253,地铁站点#59.0,0.00015350677942031936
139,位置#104,0.0001531599222575713
120,位置#85,0.00015229976481145318
59,位置#24,0.00014245347679824494
141,位置#106,0.0001400935497993965
271,地铁站点#77.0,0.00013903341958400087
38,位置#3,0.00013711148349182723
93,位置#58,0.0001339700360585953
88,位置#53,0.00013258350183466795
168,位置#133,0.00013256100139042982
227,地铁站点#33.0,0.00013125974061300926
102,位置#67,0.0001307119048708535
116,位置#81,0.00013059288496673776
170,位置#135,0.0001285425163896931
129,位置#94,0.00012757620054780144
277,地铁站点#83.0,0.00012683370306581425
155,位置#120,0.0001267151717407267
237,地铁站点#43.0,0.00012532194360566405
157,位置#122,0.00012339230435286097
260,地铁站点#66.0,0.00012320663542659545
70,位置#35,0.00011920710997241308
231,地铁站点#37.0,0.0001178678238105092
125,位置#90,0.00011514335175179493
130,位置#95,0.00011188720689912744
162,位置#127,0.00010677831182394029
292,地铁站点#98.0,0.0001040522649041571
117,位置#82,0.00010339245856913681
64,位置#29,0.00010317774829368599
36,位置#1,9.805865419060749e-05
166,位置#131,9.455751851704212e-05
186,位置#151,8.774141140035871e-05
149,位置#114,8.767970404659552e-05
290,地铁站点#96.0,8.699306376768258e-05
281,地铁站点#87.0,8.693088072500761e-05
62,位置#27,8.475356809566093e-05
133,位置#98,8.318000256677406e-05
182,位置#147,8.092012458224047e-05
283,地铁站点#89.0,8.068109168601515e-05
112,位置#77,8.049126890295664e-05
107,位置#72,7.697362368889077e-05
118,位置#83,7.6801554919422e-05
208,地铁站点#14.0,7.52561189654509e-05
109,位置#74,7.513335287273872e-05
240,地铁站点#46.0,7.195227907855296e-05
199,地铁站点#5.0,7.002847709953199e-05
37,位置#2,6.973746205206416e-05
